,Work Description,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,APN_number,AIN,GeneralUseType,SpecificUseType,RecordingDate,Bedrooms,Bathrooms,Units,TotalValue
7658,CONVERT EXISTING 2-CAR CARPORT & CABANA INTO NEW ACCESSORY DWELLING UN,2019-02-07,30000.0,,,1.0,R1-1-O,4330020035,4330020035,Residential,Single Family Residence,2018-03-13,4.0,3.0,1,"2,601,000.00"
7659,Convert (e) underspace to habitable space and ADU per AB494 and SB229.,2018-05-11,123163.0,2324.0,0.0,2.0,R1-1,2171004003,2171004003,Residential,Single Family Residence,2017-05-12,3.0,2.0,1,"480,194.00"
7660,"21'-1"" X 20'-2"" ADDITION OF ACCESSORY DWELLING UNIT OVER EXISTING GARA",2018-11-06,42000.0,519.0,,2.0,R1-1,2637011005,2637011005,Residential,Single Family Residence,2008-05-01,3.0,2.0,1,"434,750.00"
7661,CONVERT (E) 21' x 21'  GARAGE INTO NEW ACCESSORY DWELLING UNIT PER AB,2018-09-26,19000.0,407.0,,0.0,RS-1,2531025068,2531025068,Residential,Single Family Residence,1994-09-02,3.0,2.0,1,"194,598.00"
7662,CONVERT EXISTING GARAGE INTO ACCESSORY DWELLING UNIT PER AB 2299 AND S,2017-10-10,20000.0,722.0,,1.0,RD2-1,6041013029,6041013029,Residential,Single Family Residence,2009-04-24,2.0,1.0,1,"178,809.00"
7663,CONVERT (E) 24' x 26' (IRR. SHAPE) STORAGE TO AN ACCESSORY DWELLING UN,2017-08-02,20000.0,0.0,,,R1-1-HPOZ,2237009019,2237009019,Residential,Single Family Residence,2018-11-07,2.0,1.0,1,"170,798.00"
7664,CONVERT STORAGE INTO ADU PER AB 494 AND SB 229.,2019-07-09,32000.0,599.0,,1.0,R1-1,5685020009,5685020009,Residential,Single Family Residence,2006-12-22,3.0,2.0,1,"89,621.00"
7665,CONVERT (E) GARAGE INTO (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB,2018-06-05,18000.0,345.0,0.0,0.0,R1-1,2640026026,2640026026,Residential,Single Family Residence,2012-08-16,4.0,2.0,1,"515,735.00"
7666,NEW 2-STORY DETACHED ACCESSORY DWELLING UNIT (ADU) PER AB 494 AND SB 2,2019-02-11,200000.0,953.0,,2.0,RE15-1-H,2291008017,2291008017,Residential,Single Family Residence,2009-02-25,3.0,3.0,1,"981,240.00"
7667,CONVERTING EXISTING GARAGE TO ACCESSORY DWELLING UNIT WITH 17'X20' ADD,2018-12-13,60000.0,710.0,,0.0,R1-1,2121024003,2121024003,Residential,Single Family Residence,2018-10-22,3.0,2.0,1,"245,402.00"
7668,CONVERT EXISTING SECOND FLOOR ACCESSORY LIVING QUARTER TO ADU (1001 SF,2017-07-24,5000.0,0.0,,0.0,RE20-1-H-HCR,4370015022,4370015022,Residential,Single Family Residence,2015-10-06,5.0,5.0,1,"4,557,717.00"
7669,CONVERT EXISTING GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-03-28,7000.0,370.0,,0.0,RS-1,2688036017,2688036017,Residential,Single Family Residence,2018-09-18,3.0,2.0,1,"541,214.00"
7670,ADDITION TO (E) 2-CAR GARAGE TO CREATE 2-STORY ADU WITH ATTACHED GARAG,2018-04-12,121000.0,1170.0,,2.0,R1-1,2226009020,2226009020,Residential,Single Family Residence,2017-10-30,3.0,1.0,1,"402,900.00"
7671,"(N) 30'-0""x 40'-0"" DETACHED ACCESSORY DWELLING UNIT PER AB 2299 AND SB",2018-06-11,100000.0,1173.0,,1.0,RA-1-K,2501022062,2501022062,Residential,Single Family Residence,1990-04-27,4.0,3.0,1,"568,807.00"
7672,(N) IRREGULAR SHAPED TWO-STORY ACCESSORY DWELLING UNIT (837 SF)  PER A,2019-02-11,113000.0,837.0,,2.0,R1-1,2326019002,2326019002,Residential,Single Family Residence,2016-03-14,3.0,4.0,1,"719,650.00"
7673,CONVERT GARAGE 18'X20' (360 SQFT) TO ADU PER AB2249 AND SB1069 AND ADD,2017-08-07,54000.0,790.5,,0.0,R1-1,6042007016,6042007016,Residential,Single Family Residence,2018-09-20,4.0,2.0,1,"495,000.00"
7674,CONVERSION OF (E) ATTACHED GARAGE TO AN ACCESSORY DWELLING UNIT PER AB,2019-07-02,25000.0,,,0.0,RE15-1-H-HCR,4356007022,4356007022,Residential,Single Family Residence,2003-02-25,3.0,2.0,1,"334,998.00"
7675,CONVERT (E) 19' x 25' ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2019-08-09,21000.0,550.0,0.0,0.0,RE11-1,2656030023,2656030023,Residential,Single Family Residence,2015-07-21,4.0,3.0,1,"535,908.00"
7676,"NEW 2-STORY, 21' X 31', TYPE-VB, R3-OCC,  ACCESSORY DWELLING UNIT ATTA",2018-09-04,110000.0,1098.0,,2.0,R2-1-CUGU,5170003013,5170003013,Residential,Single Family Residence,2001-12-27,3.0,1.0,1,"193,216.00"
7677,CONVERT GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 & SB 1069. COMPL,2017-03-21,17000.0,377.0,1.0,1.0,R1-1,5591003005,5591003005,(missing),(missing),2016-04-13,2.0,2.0,1,"1,099,865.00"
7678,Convert attached garage to ADU per SB 229 and AB 494.,2019-06-18,7500.0,406.0,0.0,,R1V2-O,4309002014,4309002014,Residential,Single Family Residence,2016-09-30,2.0,2.0,1,"759,522.00"
7679,CONVERT (E) DETACHED GARAGE / STORAGE INTO ACCESSORY DWELLING UNIT PER,2017-12-22,75000.0,482.0,,1.0,R1R3-RG,5066011010,5066011010,Residential,Single Family Residence,2008-08-12,2.0,1.0,1,"831,167.00"
7680,ADD TO THE GARAGE PER WFPP. CONVERT (E) DETACHED GARAGE TO ADU PER AB2,2017-10-13,85000.0,1120.0,0.0,0.0,RE9-1XL-RFA,2696002001,2696002001,Residential,Single Family Residence,2017-08-29,4.0,2.0,1,"785,400.00"
7681,CONVERT PORTION OF (E) SINGLE FAMILY DWELLING TO ACCESSORY DWELLING U,2017-08-24,20000.0,,,,RS-1,2301015011,2301015011,Residential,Single Family Residence,2007-05-16,4.0,4.0,2,"659,016.00"
7682,CONVERT (E) DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 & S,2017-03-24,18000.0,0.0,1.0,1.0,RD1.5-1XL,5539006020,5539006020,Residential,Single Family Residence,2008-08-05,1.0,1.0,1,"486,210.00"
7683,"CONVERT (E) 18'0"" x 22'2' GARAGE TO AN ACCESSORY DWELLING UNIT PER AB",2017-03-24,10000.0,399.0,1.0,0.0,RS-1,2780015004,2780015004,Residential,Single Family Residence,2017-03-30,4.0,3.0,1,"520,200.00"
7684,"CONVERT (E) 18'1' X 20'2"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING UN",2018-02-23,17000.0,365.0,,0.0,RS-1-RIO,2137026013,2137026013,Residential,Single Family Residence,2017-12-21,4.0,3.0,2,"654,921.00"
7685,"20'-0"" 15'-0"" ACCESSORY DWELLING UNIT PER AB2299 AND SB1069 (PER WFPP)",2018-01-16,45000.0,300.0,,1.0,R1-1-O-CUGU,2618003007,2618003007,Residential,Single Family Residence,2008-08-20,2.0,1.0,1,"259,730.00"
7686,CONVERT (E) CARPORT TO ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069,2017-09-19,30636.0,648.0,,1.0,R1-1,2234024027,2234024027,Residential,Single Family Residence,2018-04-27,8.0,7.0,3,"875,463.00"
7687,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229,2019-05-23,23000.0,496.0,0.0,0.0,RS-1,2678025008,2678025008,Residential,Single Family Residence,2013-01-11,3.0,3.0,1,"404,024.00"
7688,NEW ACCESSORY DWELLING UNIT  PER AB 494 AND SB 229. ALL WORK PER WFPP,2018-09-27,93000.0,911.0,,1.0,RS-1-K,2501019002,2501019002,Residential,Single Family Residence,2015-12-07,2.0,1.0,1,"514,684.00"
7689,CONVERT EXISTING TWO CAR GARAGE TO ADU PER AB 494 AND SB 229.,2019-01-18,15000.0,364.0,,0.0,R1-1,2219013018,2219013018,Residential,Single Family Residence,2018-12-21,3.0,2.0,1,"604,000.00"
7690,CONVERT ATTACHED 2-CAR GARAGE TO ADU PER AB 2299 SB1069. ADD NEW KITCH,2017-12-04,15000.0,0.0,0.0,1.0,R1-1,2695010015,2695010015,Residential,Single Family Residence,2017-07-21,3.0,1.0,1,"499,800.00"
7691,"Add 14'-5"" x 13'-3"" and convert detached garage to accessory dwelling",2019-07-05,16600.0,670.0,,1.0,R1-1-CUGU,2631012040,2631012040,Residential,Single Family Residence,2014-11-07,3.0,1.0,1,"369,003.00"
7692,GARAGE CONVERSION TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229,2018-04-04,30240.0,324.0,,1.0,R1-1-RIO,5594023006,5594023006,Residential,Single Family Residence,2018-08-21,2.0,3.0,2,"1,238,000.00"
7693,CONVERSION OF EXISTING ACCESSORY LIVING QUARTERS TO ACCESSORY DWELLING,2018-07-18,6300.0,1010.0,,1.0,R1-1,2405010006,2405010006,Residential,"Double, Duplex, or Two Units",2014-01-15,6.0,4.0,2,"348,219.00"
7694,New Manufactured 24'-3''x 44'-0'' 1-story accessory dwelling unit per,2018-07-26,110000.0,1070.0,,1.0,R1-1-RFA,2557005022,2557005022,Residential,Single Family Residence,2017-01-26,1.0,1.0,1,"442,170.00"
7695,CONVERT (E) 25' X 50' SECOND STORY STORAGE TO ACCESSORY DWELLING UNIT,2019-06-20,69000.0,2500.0,,2.0,R1-1,2220009025,2220009025,Residential,Single Family Residence,2008-06-26,3.0,2.0,1,"765,361.00"
7696,CONVERT (E) GARAGE INTO AN (N) ACCESSORY DWELLING UNIT PER AB 494 AND,2019-04-29,20000.0,417.0,,1.0,R1R3-RG,5523034023,5523034023,Residential,Single Family Residence,2008-07-17,2.0,2.0,1,"1,378,357.00"
7697,"PROPOSE 44'-3""X30'-6"" ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069_",2017-11-07,12680.0,1174.0,,1.0,RA-1,2103001011,2103001011,Residential,Single Family Residence,2017-06-14,6.0,3.0,2,"686,941.00"
7698,Convert detached garage to Accessory Dwelling Unit per AB 2299  & S.B.,2017-04-25,12000.0,739.0,1.0,1.0,RS-1,2678007007,2678007007,Residential,Single Family Residence,2016-11-01,4.0,4.0,2,"661,673.00"
7699,"CONVERT (E) 20'2"" X 27'9"" ATTACHED GARAGE TO ACCESSORY DWELLING UNIT A",2019-04-26,65000.0,527.0,0.0,0.0,RE11-1,2020006037,2020006037,Residential,Single Family Residence,2018-11-05,3.0,2.0,1,"775,000.00"
7700,CONVERT EXISTING DETACHED RECREATION ROOM INTO AN ACCESSORY DWELLING U,2019-10-29,38000.0,665.0,,1.0,R1-1,2161015017,2161015017,Residential,Single Family Residence,2016-12-15,4.0,4.0,1,"661,341.00"
7701,CONVERT (E) GARAGE INTO ACCESSORY DWELLING UNIT PER AB 2299 AND SB 106,2017-11-28,21000.0,1686.0,,,R1-1,6041009020,6041009020,Residential,Single Family Residence,2009-08-27,3.0,2.0,2,"178,191.00"
7702,Addition to & conversion of (E) det. garage to an accessory dwelling u,2019-12-18,20000.0,440.0,,1.0,R1-1,5006031003,5006031003,Residential,Single Family Residence,2002-01-03,3.0,2.0,1,"238,736.00"
7703,CONVERTIN AN EXISTING GARAGE AND RECROOM TO AN ACCESSORY DWELLING UNIT,2017-04-27,5000.0,717.0,1.0,1.0,R1-1,6050012012,6050012012,Residential,"Double, Duplex, or Two Units",2013-10-16,6.0,3.0,2,"238,438.00"
7704,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT. PER AB494 AND SB 229.,2018-10-19,25000.0,1876.0,0.0,0.0,R1-1-RIO,2369006032,2369006032,Residential,Single Family Residence,2018-04-20,4.0,2.0,1,"1,213,800.00"
7705,"(N) 20'-2""x 24'-2"" DETACHED GARAGE CONVERT INTO ACCESSORY DWELLING UNI",2018-05-22,22500.0,488.0,,1.0,R1V2,4258008015,4258008015,Residential,Single Family Residence,2018-02-26,4.0,2.0,1,"1,071,000.00"
7706,CONVERT DETACHED GARAGE TO A (N) ADUCESSORY DWELLING UNIT PER AB 494 A,2019-03-22,15000.0,309.0,,1.0,R1-1-CUGU,2310022010,2310022010,Residential,Single Family Residence,2012-11-26,4.0,3.0,1,"363,628.00"
7707,CONVERT (E) GARAGE INTO ACCESSORY DWELLING UNIT PER AB 2299 & SB1069.,2017-06-06,15000.0,304.0,1.0,1.0,R1-1-O-HPOZ,5087002011,5087002011,Residential,Single Family Residence,2004-01-16,4.0,3.0,1,"734,982.00"
7708,Addition and conversion of existing garage to accessory dwelling unit,2020-01-10,20000.0,473.0,,0.0,R1-1,6036002029,6036002029,Residential,Single Family Residence,2014-10-29,3.0,1.0,1,"204,956.00"
7709,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 & SB 10,2017-08-28,18000.0,1519.0,,1.0,R1-1-RIO,2139002010,2139002010,Residential,Single Family Residence,2017-05-12,3.0,3.0,2,"693,089.00"
7710,NEW ONE-STORY DETACHED ACCESSORY DWELLING UNIT PER AB2299 AND SB1069 W,2018-08-21,70000.0,616.0,,1.0,R1-1-O,5053017010,5053017010,Residential,Single Family Residence,2015-08-19,4.0,2.0,1,"534,069.00"
7711,CONVERT (E) DETACHED GARAGE (360 S.F.) INTO AN ACCESSORY DWELLING UNIT,2017-12-06,17000.0,360.0,,1.0,R1-1-RIO,2248003012,2248003012,Residential,Single Family Residence,2017-08-29,3.0,2.0,1,"944,520.00"
7712,CONVERT EXISTING DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494,2018-06-07,10000.0,194.0,,0.0,RD2-1VL,5427022003,5427022003,Residential,Single Family Residence,2018-04-04,3.0,2.0,1,"920,040.00"
7713,"PROPOSED ADU PER AB 494 AND SB 229;  ALL WORK PER WFPP    ***""COMPLY W",2019-02-11,40000.0,395.0,,1.0,[Q]C2-1,6030018006,6030018006,Residential,Single Family Residence,2003-10-28,3.0,2.0,1,"209,042.00"
7714,"Convert (e) 17'-8"" x 20'-3"" detached garage into an Accessory Dwelling",2019-07-08,25000.0,326.0,,0.0,R1-1-O,4256004031,4256004031,Residential,Single Family Residence,2003-02-27,3.0,4.0,1,"803,018.00"
7715,Convert Garage/Rec. Room to Accessory Dwelling Unit Per AB 2299 & SB 1,2017-04-04,10000.0,0.0,1.0,0.0,R2-1-O,4303013072,4303013072,Residential,"Double, Duplex, or Two Units",2016-05-26,4.0,3.0,2,"1,315,454.00"
7716,CONVERT GARAGE INTO ACCESSORY DWELLING UNIT (ADU) PER AB 494& SB 229.,2018-08-30,31188.0,620.0,,1.0,R1-1-RIO,2254035027,2254035027,Residential,Single Family Residence,2015-11-17,4.0,3.0,1,"599,581.00"
7717,CONVERT (E) 2-CAR GARAGE (18'X18') INTO AN ACCESSORY DWELLING UNIT PER,2019-04-25,25000.0,215.0,,0.0,R1-1,5589026004,5589026004,Residential,Single Family Residence,2016-06-17,4.0,3.0,1,"1,600,117.00"
7718,CONVERT EXISTING 12' X 20' DETACHED 1-CAR GARAGE TO ACCESSORY DWELLING,2017-09-26,20000.0,240.0,,1.0,R1-1-RFA,2555030009,2555030009,Residential,Single Family Residence,2017-06-06,3.0,1.0,1,"557,700.00"
7719,CONVERT 18' x 20' DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 49,2018-07-16,17000.0,322.0,,1.0,R1-1,4323017019,4323017019,Residential,Single Family Residence,2018-06-29,4.0,3.0,1,"1,558,764.00"
7720,"NEW TWO-STORY, TYPE V, 25'-7"" X 31', 1022 SF ADU AT REAR OF R1-1 PROPE",2020-05-02,180000.0,1022.0,,2.0,R1-1,4252036031,4252036031,(missing),(missing),2016-10-04,2.0,1.0,1,"813,592.00"
7721,CONVERT THE (E) ATT. GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER AB,2019-06-19,20000.0,200.0,0.0,,R1-1,2074004031,2074004031,Residential,Single Family Residence,2015-08-14,4.0,2.0,1,"611,954.00"
7722,"CONVERT (E)  20'-0"" X 24'-0"" GARAGE INTO (N) ACCESSORY DWELLING UNIT P",2017-02-28,20000.0,437.0,1.0,1.0,R1-1-RIO,2254016024,2254016024,Residential,Single Family Residence,2018-02-09,2.0,1.0,1,"580,930.00"
7723,CONVERT EXISTING REC ROOM TO AN ACCESSORY DWELLING UNIT PER AB2299 & S,2018-01-02,5000.0,0.0,,0.0,R1-1,4256023044,4256023044,Residential,"Double, Duplex, or Two Units",2018-02-20,6.0,3.0,2,"147,175.00"
7724,CONVERSION OF AN (E) GARAGE AND STORAGE  TO ACCESSORY DWELLING UNIT PE,2018-11-21,35000.0,619.0,,1.0,R1-1,5046021008,5046021008,Residential,Single Family Residence,2009-10-29,2.0,2.0,1,"318,207.00"
7725,"IRR. 32' x 30'-6"" ACCESSORY DWELLING UNIT ADDITION PER AB 494 AND SB 2",2018-03-06,93000.0,848.0,,1.0,R1-1-RIO,2128028006,2128028006,Residential,Single Family Residence,2018-02-01,5.0,5.0,2,"826,100.00"
7726,CONVERT LIVING QUARTER INTO AN ACCESSORY DWELLING UNIT.   CONVERT LIVI,2017-08-01,7800.0,1085.0,,2.0,RE9-1XL-RFA,2696028020,2696028020,Residential,Single Family Residence,2014-06-03,3.0,2.0,1,"697,808.00"
7727,CONVERT (E) ACCESSORY LIVING QUARTERS TO (N) ACCESSORY DWELLING UNIT P,2018-07-05,5000.0,0.0,,0.0,RA-1,2104009013,2104009013,Residential,Single Family Residence,2014-12-10,3.0,3.0,1,"487,516.00"
7728,GARAGE CONVERSIION TO ADU PER AB 2299 AND SB 1069,2018-02-07,10000.0,438.0,,0.0,R1-1,4221002021,4221002021,Residential,Single Family Residence,2002-09-10,3.0,2.0,1,"454,406.00"
7729,CONVERT  PORTION OF (E) DWELLING INTO A  NEW ACCESSORY DWELLING UNIT (,2018-05-24,10000.0,0.0,0.0,1.0,RS-1,2510025003,2510025003,Residential,Single Family Residence,2007-08-10,3.0,2.0,1,"599,000.00"
7730,CONVERT  (E) ATTACHED GARAGE INTO (N) ACCESSORY DWELLING UNIT PER AB 4,2018-06-01,25000.0,2332.0,,1.0,R1-1-RIO,2230021001,2230021001,Residential,Single Family Residence,2006-06-30,4.0,3.0,1,"690,831.00"
7731,PROPOSED CONVERSION OF REAR PORTION OF SFD INTO ADU PER AB 494 AND SB,2019-04-24,25000.0,0.0,,0.0,R1-1,2414033015,2414033015,Residential,Single Family Residence,2013-06-05,4.0,2.0,1,"513,312.00"
7732,CONVERT GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069,2018-01-05,24000.0,504.0,,1.0,R1-1,2219013001,2219013001,Residential,Single Family Residence,1985-10-01,2.0,2.0,1,"158,490.00"
7733,CONVERT (E) 19' X  24' DETACHED GARAGE INTO (N) ACCESSORY DWELLING UNI,2018-09-19,20000.0,421.0,,1.0,R1-1,2604026008,2604026008,Residential,Single Family Residence,1991-08-01,2.0,1.0,1,"223,793.00"
7734,convert garage to an adu per AB 2299 and SB 1069,2017-06-23,20000.0,442.0,,0.0,R1-1VL-RIO,5445010014,5445010014,Residential,Single Family Residence,2010-12-30,3.0,2.0,1,"355,641.00"
7735,"Add 30'4"" x 22'4"" accessory dwelling unit attached to the front of dwe",2019-05-24,70000.0,2030.0,0.0,1.0,R1-1,6052019016,6052019016,Residential,Single Family Residence,2017-04-14,4.0,2.0,1,"254,898.00"
7736,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT. ALL,2018-03-19,15000.0,360.0,,0.0,R1V2,4243018029,4243018029,Residential,Single Family Residence,2015-02-09,2.0,1.0,1,"204,383.00"
7737,"NEW 40'X19'9"" 1-STORY, TYPE V ACCESSORY DWELLING UNIT PER AB 494 AND S",2020-03-04,82500.0,790.0,,1.0,R1-1,6015015018,6015015018,Residential,Single Family Residence,2018-07-31,2.0,1.0,1,"145,063.00"
7738,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT AS PER AB2299 AND SB1069,2017-06-27,25760.0,518.0,,0.0,R1R3-RG,5507004021,5507004021,Residential,Single Family Residence,2014-05-09,3.0,3.0,2,"730,243.00"
7739,CONVERT (E) 18' X 20' ATTACHED 2-CAR GARAGE TO AN ACCESSORY DWELLING U,2019-12-13,30000.0,323.0,0.0,1.0,R1-1,2101034011,2101034011,Residential,Single Family Residence,2013-06-28,4.0,2.0,1,"367,594.00"
7740,"ADD IRR. SHAPE 27'-0""x 41'-0"" & CONVERT GARAGE TO ACCESSORY DWELLING U",2019-06-12,99000.0,1144.0,,1.0,R1-1-RIO,2127007009,2127007009,Residential,Single Family Residence,2016-02-02,2.0,1.0,1,"267,415.00"
7741,CONVERSION OF (E) DETACHED 2 CAR GARAGE INTO ADU PER AB494 AND SB229.,2018-09-26,18400.0,400.0,,1.0,R2-1,6011006057,6011006057,Residential,Single Family Residence,2012-11-09,3.0,2.0,1,"193,178.00"
7742,CONVERTING EXISTING ATTACHED GARAGE TO  ADU PER ORDINANCE,2020-05-07,35000.0,985.0,0.0,0.0,R1-1,5016012009,5016012009,Residential,Four Units  (Any Combination),2007-04-30,4.0,4.0,4,"36,419.00"
7743,Convert detached garage to Accessory Dwelling Unit per AB2299 & SB1069,2017-09-20,30000.0,360.0,,1.0,R1-1VLD,4243028026,4243028026,Residential,Single Family Residence,2016-11-14,3.0,1.0,1,"367,853.00"
7744,CONVERT REC. ROOM/CARPORT TO ADU PER AB 2299 AND SB 1069 COMPLY WITH D,2017-04-18,22000.0,1093.0,1.0,1.0,R1-1-CUGU,2310024012,2310024012,Residential,Single Family Residence,2006-02-03,3.0,2.0,1,"479,062.00"
7745,CONVERT (E) DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND,2018-10-19,20000.0,,,,R1-1,5551012008,5551012008,Residential,Single Family Residence,2015-08-26,5.0,5.0,1,"2,480,960.00"
7746,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER A,2018-07-02,18400.0,412.0,,0.0,R3-1,4006034007,4006034007,Residential,Single Family Residence,2018-05-18,3.0,2.0,1,"459,000.00"
7747,CONVERT (E) 18'X20' DETACHED GARAGE INTO A (N)  ACCESSORY DWELLING UNI,2018-10-03,20000.0,360.0,,0.0,R1-1,2309017007,2309017007,Residential,Single Family Residence,2017-10-31,3.0,1.0,1,"530,400.00"
7748,CONVERT EXISTING GARAGE TO ACCESSORY DWELLING UNIT PER AB2299 AND SB 1,2017-07-27,17000.0,360.0,,,R1-1,4215025042,4215025042,(missing),(missing),2012-03-27,4.0,3.0,2,"638,555.00"
7749,"(N) 21'-0""x 38'-0"" 2- STORY RECREATIONAL  RM & ACCESSORY DWELLING UNIT",2019-07-22,161000.0,1490.0,,2.0,R1V2,4246007001,4246007001,Residential,Single Family Residence,2011-04-19,2.0,2.0,1,"617,864.00"
7750,Convert detached Rec. Room to Accessory Dwelling Unit per AB 2299 & SB,2017-09-22,10000.0,767.0,,1.0,R1-1,4230015020,4230015020,Residential,Single Family Residence,2016-01-11,2.0,2.0,1,"879,612.00"
7751,CONVERT (E) ATT 2-CAR GARAGE INTO (N) ACCESSORY DWELLING UNIT PER AB 4,2018-08-07,20000.0,428.0,,,R1-1-CUGU,2534006017,2534006017,Residential,Single Family Residence,2009-06-23,4.0,2.0,1,"277,046.00"
7752,CONVERT 23' x 26.5' IRR. PORTION OF SFD AREA TO ACCESSORY DWELLING UNI,2019-10-21,5000.0,0.0,0.0,0.0,[Q]RD1.5-1,2246027017,2246027017,Residential,Single Family Residence,2014-02-24,2.0,2.0,1,"659,347.00"
7753,CONVERSION (E) (30' X 12') GARAGE TO AN ACCESSORY DWELLING UNIT PER AB,2017-09-05,16560.0,360.0,,0.0,R1-1,5669016022,5669016022,Residential,Single Family Residence,2011-08-25,3.0,2.0,1,"617,259.00"
7754,"CONVERT 19'8""  X 20'ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB",2018-03-23,20000.0,374.0,0.0,1.0,RS-1-RIO,2134020021,2134020021,Residential,Single Family Residence,2017-10-24,3.0,2.0,1,"425,440.00"
7755,CONVERT ATTACHED GARAGE  TO ACCESSORY DWELLING UNIT PER AB 2299 AND SB,2017-06-28,21000.0,1723.0,1.0,,RS-1,2308023022,2308023022,(missing),(missing),2013-03-06,2.0,2.0,1,"369,276.00"
7756,"CONVERT 18-2"" X 22'-0"" (E)DET. GARAGE INTO A NEW ACCESSORY DWELLING UN",2019-01-25,20000.0,366.0,,1.0,RS-1,2647005020,2647005020,Residential,Single Family Residence,2018-05-25,2.0,2.0,1,"560,591.00"
7757,"CONVERT EXISTING 18'3"" X 27'4.5"" GARAGE TO ACCESSORY DWELLING UNIT PER",2019-09-27,29000.0,499.6,0.0,,RE11-1,2004006011,2004006011,Residential,Single Family Residence,2017-12-05,4.0,2.0,1,"636,425.00"
7758,"Convert (e) 18'0"" x 20'2"" detached garage to an Accessory Dwelling Uni",2018-05-30,20000.0,325.0,,1.0,R1-1,2115002010,2115002010,Residential,Single Family Residence,2008-04-04,3.0,1.0,1,"259,684.00"
7759,ADDITION OF NEW TWO STORY ACCESSORY DWELLING UNIT PER AB 494 AND SB 22,2019-06-24,82500.0,755.0,,2.0,RD1.5-1,4302018010,4302018010,Residential,Single Family Residence,2018-02-20,2.0,1.0,1,"604,887.00"
7760,REMODEL (E) SFD AND CONVERT GARAGE AND BREEZWAY  INTO ADU PER AB 494 a,2019-02-06,50000.0,867.0,0.0,0.0,R1-1-O,6117030016,6117030016,Residential,Single Family Residence,2018-08-23,3.0,2.0,1,"440,000.00"
7761,ADDITION AND CONVERTION OF (E) 2 CAR GARAGE INTO ACCESSORY DWELLING UN,2018-03-09,60000.0,898.0,,0.0,R1-1,6046014018,6046014018,Residential,Single Family Residence,2010-12-16,5.0,2.0,1,"211,764.00"
7762,"NEW DETACHED 33' 9"" X 62' IRREGULAR SHAPED 1-STORY ACCESSORY DWELLING",2019-02-22,140808.0,1200.0,,1.0,R1-1-CUGU,2310022006,2310022006,Residential,Single Family Residence,2016-12-01,2.0,1.0,1,"447,372.00"
7763,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER A,2019-04-05,28000.0,360.0,,,R1V2,4112027004,4112027004,Residential,Single Family Residence,2018-10-04,3.0,1.0,1,"1,200,500.00"
7764,Convert Attached  garage to Accessory Dwelling Unit per AB 2299 & SB 1,2017-09-29,15000.0,400.0,0.0,1.0,R1V2,4316025007,4316025007,Residential,Single Family Residence,2017-06-01,3.0,2.0,1,"2,512,565.00"
7765,"CONVERT GARAGE TO ACCESSORY DWELLING UNIT WITH (14'-0"" X 21'-1"") ADDIT",2019-09-13,25000.0,487.0,,1.0,R1-1,6033012031,6033012031,Residential,Single Family Residence,2010-07-01,3.0,2.0,1,"62,459.00"
7766,CONVERT (E) 18' X 20' ATTACHED BEDROOM TO (N) ACCESSORY DWELLING UNIT,2017-11-08,10000.0,0.0,,,R1-1,2204006017,2204006017,Residential,Single Family Residence,2018-07-23,3.0,3.0,2,"759,000.00"
7767,NEW ACCESSORY DWELLING UNIT PER AB 494 AND SB 229 UNDER WFPP.,2018-12-11,78780.0,720.0,,1.0,[Q]C4-1XL-HPOZ,5492036007,5492036007,Residential,Single Family Residence,2018-02-28,3.0,2.0,1,"765,000.00"
7768,"NEW 18'-10"" X 19'-0"" 2-STORY ACCESSORY DWELLING UNIT PER AB 2299 AND S",2018-02-26,100000.0,700.0,,2.0,R1V2,4258014047,4258014047,Residential,Single Family Residence,2012-03-16,4.0,2.0,1,"863,184.00"
